X_pct,Y_pct,XIRR_pct,CAGR_pct,TotalReturn_pct,NumTrades,OpenPositions,WinRate_pct,AvgHoldingDays,MaxDrawdown_INR,MaxCapitalDeployed_INR,GrossInvested_INR,GrossReturned_INR,TerminalMTM_INR,NetPnL_INR
15.0,17.0,21.231822101004504,26.11705590178408,130.79818620370713,265,37,91.72185430463577,304.0943396226415,-146967.52685157311,360000.0,3020000.0,3490873.4703333457,345353.9113660107,470873.4703333457
15.0,18.0,21.479950923461193,25.81568343855092,133.34843255143974,255,38,91.46757679180887,320.07450980392156,-146208.12594181995,360000.0,2930000.0,3410054.357185183,355923.832357838,480054.3571851831
15.0,19.0,21.27159441925472,25.352800346627035,133.10875877193317,243,38,91.10320284697508,339.440329218107,-148175.53560184516,360000.0,2810000.0,3289191.5315789594,355993.3139756447,479191.53157895943
15.0,20.0,21.750700204830093,25.3152304934968,138.76460512197474,239,39,91.00719424460432,351.4811715481172,-147935.43050204837,360000.0,2780000.0,3279552.578439109,367811.98493911704,499552.578439109
16.0,10.0,24.356958377846478,30.322897724255338,121.62071431897022,380,26,94.58128078817734,167.3421052631579,-137202.1096119505,334064.54637907166,4060000.0,4466291.6875926545,229908.34470881705,406291.6875926545
16.0,11.0,24.32969948809086,29.752088826664934,125.99393286726861,357,27,94.27083333333334,182.86274509803923,-140351.10022618095,332548.027968926,3840000.0,4258990.339110594,240479.47658836015,418990.33911059424
16.0,12.0,24.375836109677145,29.39831168135898,131.35587838308024,338,28,93.98907103825137,196.2337278106509,-140105.323242526,328081.28371909825,3660000.0,4090954.052039707,251157.1569293876,430954.0520397071
16.0,13.0,24.157772154160817,28.943000911634265,134.61662844210866,321,29,93.42857142857143,212.1931464174455,-139329.7526677642,327097.2464841056,3500000.0,3940327.284943877,261378.82117546047,440327.2849438768
16.0,14.0,23.003777067077127,27.92092414836631,132.16795978975654,299,29,93.29268292682927,234.8896321070234,-139324.87547904067,333953.95860434795,3280000.0,3721380.133724495,261522.76571098925,441380.13372449484
16.0,15.0,22.83797623440129,27.49124931543363,134.1856042366241,283,30,92.97124600638978,255.23674911660777,-140542.19285043763,331552.24013181985,3130000.0,3574895.3767809453,272370.5426514565,444895.37678094534
16.0,16.0,22.35356544264217,27.00415514748795,135.41191286816073,267,33,92.66666666666666,274.8689138576779,-144002.6415516298,332168.3613719278,3000000.0,3449795.532076552,305707.3494668495,449795.53207655204
16.0,17.0,22.082249258295768,26.55432944928218,137.1455630808552,255,33,92.36111111111111,294.5882352941176,-144368.79276089012,332577.12983541726,2880000.0,3336114.77739093,305707.3494668495,456114.77739092987
16.0,18.0,21.971594866293266,26.364317623104693,140.22673267170651,244,36,92.14285714285714,309.577868852459,-144267.63617039367,330097.2811992667,2800000.0,3262884.632063867,339456.6020004262,462884.63206386706
16.0,19.0,21.98808074482983,26.388851202239415,145.2153001895715,238,36,91.97080291970804,325.172268907563,-144171.57661740278,324211.73016622267,2740000.0,3210805.037210684,339456.6020004262,470805.0372106838
16.0,20.0,22.379717474350773,26.35383211239828,150.15879077761855,230,38,91.7910447761194,338.4086956521739,-143351.92808285958,320000.0,2680000.0,3160508.1304883794,361025.0291745482,480508.1304883794
17.0,10.0,25.342761854975514,29.78534019834673,118.46067946885195,372,22,95.68527918781726,163.1505376344086,-134727.18621430718,338060.85831411544,3940000.0,4340469.189777134,192060.14889300478,400469.189777134
